timestamp_ms,pixel_height,estimated_distance_cm,confidence
1752076339964,218,42.3853,0.91137
1752076340024,216,42.7778,0.912077
1752076340084,215,42.9767,0.912162
1752076340145,212,43.5849,0.918293
1752076340204,211,43.7915,0.924822
1752076340264,213,43.3803,0.922015
1752076340324,215,42.9767,0.922885
1752076340384,215,42.9767,0.917029
1752076340444,216,42.7778,0.914059
1752076340506,215,42.9767,0.917797
1752076340570,213,43.3803,0.910919
1752076340625,213,43.3803,0.903278
1752076340685,213,43.3803,0.90272
1752076340744,212,43.5849,0.904403
1752076340805,210,44,0.899343
1752076340864,210,44,0.908993
1752076340925,209,44.2105,0.905882
1752076340984,208,44.4231,0.913718
1752076341044,209,44.2105,0.899757
1752076341104,210,44,0.903394
1752076341165,209,44.2105,0.904483
1752076341224,210,44,0.904328
1752076341284,208,44.4231,0.893049
1752076341350,209,44.2105,0.909856
1752076341408,211,43.7915,0.908527
1752076341469,208,44.4231,0.902173
1752076341528,209,44.2105,0.903577
1752076341588,211,43.7915,0.886506
1752076341648,210,44,0.889065
1752076341709,210,44,0.898803
1752076341769,209,44.2105,0.902991
1752076341828,210,44,0.906233
1752076341889,210,44,0.911652
1752076341949,210,44,0.913205
1752076342008,209,44.2105,0.912595
1752076342069,206,44.8544,0.922911
1752076342128,203,45.5172,0.925171
1752076342188,204,45.2941,0.923411
1752076342249,202,45.7426,0.928636
1752076342309,199,46.4322,0.919151
1752076342369,199,46.4322,0.921221
1752076342428,197,46.9036,0.927121
1752076342489,194,47.6289,0.930894
1752076342549,194,47.6289,0.928477
1752076342609,192,48.125,0.929056
1752076342669,190,48.6316,0.926469
1752076342729,190,48.6316,0.92608
1752076342789,190,48.6316,0.921995
1752076342848,190,48.6316,0.917293
1752076342909,190,48.6316,0.918939
1752076342974,192,48.125,0.916867
1752076343032,192,48.125,0.91814
1752076343093,192,48.125,0.921644
1752076343153,192,48.125,0.920138
1752076343213,191,48.377,0.91891
1752076343273,191,48.377,0.91881
1752076343333,190,48.6316,0.919421
1752076343395,192,48.125,0.919372
1752076343453,193,47.8756,0.919307
1752076343513,193,47.8756,0.918918
1752076343573,193,47.8756,0.918299
1752076343633,194,47.6289,0.920489
1752076343693,192,48.125,0.919388
1752076343753,193,47.8756,0.918934
1752076343813,194,47.6289,0.924141
1752076343873,194,47.6289,0.919348
1752076343933,195,47.3846,0.920605
1752076343993,195,47.3846,0.915187
1752076344052,193,47.8756,0.918378
1752076344112,193,47.8756,0.922757
1752076344172,194,47.6289,0.918988
1752076344232,195,47.3846,0.918375
1752076344292,196,47.1429,0.9154
1752076344352,196,47.1429,0.912511
1752076344412,195,47.3846,0.911072
1752076344472,194,47.6289,0.908072
1752076344532,192,48.125,0.911972
1752076344598,190,48.6316,0.916714
1752076344656,189,48.8889,0.923385
1752076344716,188,49.1489,0.924544
1752076344776,188,49.1489,0.921344
1752076344841,187,49.4118,0.921423
1752076344895,184,50.2174,0.919439
1752076344957,183,50.4918,0.924011
1752076345016,182,50.7692,0.922582
1752076345076,181,51.0497,0.92214
1752076345136,179,51.6201,0.922134
1752076345196,180,51.3333,0.922999
1752076345257,181,51.0497,0.924255
1752076345318,179,51.6201,0.921708
1752076345376,179,51.6201,0.928914
1752076345436,180,51.3333,0.925797
1752076345497,178,51.9101,0.92513
1752076345557,178,51.9101,0.92528
1752076345616,177,52.2034,0.925736
1752076345676,178,51.9101,0.925338
1752076345737,177,52.2034,0.926025
1752076345797,178,51.9101,0.926761
1752076345857,177,52.2034,0.929142
1752076345917,178,51.9101,0.930172
1752076345977,178,51.9101,0.93015
1752076346037,178,51.9101,0.929966
1752076346097,177,52.2034,0.92689
1752076346157,178,51.9101,0.927283
1752076346221,178,51.9101,0.925285
1752076346285,179,51.6201,0.924336
1752076346340,179,51.6201,0.924198
1752076346401,179,51.6201,0.924276
1752076346461,180,51.3333,0.926422
1752076346520,179,51.6201,0.924621
1752076346580,178,51.9101,0.923473
1752076346641,179,51.6201,0.924723
1752076346701,179,51.6201,0.925193
1752076346762,178,51.9101,0.926953
1752076346823,178,51.9101,0.925686
1752076346880,178,51.9101,0.924633
1752076346941,178,51.9101,0.926754
1752076347000,177,52.2034,0.925934
1752076347061,177,52.2034,0.925417
1752076347121,177,52.2034,0.922833
1752076347180,177,52.2034,0.92077
1752076347241,177,52.2034,0.92053
1752076347301,177,52.2034,0.920609
1752076347362,177,52.2034,0.918885
1752076347421,177,52.2034,0.917929
1752076347480,177,52.2034,0.919327
1752076347541,177,52.2034,0.923725
1752076347600,177,52.2034,0.920969
1752076347661,176,52.5,0.920823
1752076347726,175,52.8,0.922491
1752076347779,174,53.1034,0.919433
1752076347846,174,53.1034,0.919113
1752076347904,174,53.1034,0.922116
1752076347966,174,53.1034,0.922567
1752076348024,174,53.1034,0.922062
1752076348084,174,53.1034,0.92339
1752076348144,175,52.8,0.923351
1752076348204,174,53.1034,0.924151
1752076348265,174,53.1034,0.924536
1752076348325,174,53.1034,0.924747
1752076348385,175,52.8,0.925061
1752076348445,174,53.1034,0.924015
1752076348504,174,53.1034,0.924611
1752076348565,174,53.1034,0.923651
1752076348625,173,53.4104,0.922711
1752076348685,173,53.4104,0.922521
1752076348745,172,53.7209,0.921871
1752076348805,173,53.4104,0.921215
1752076348865,172,53.7209,0.919851
1752076348929,171,54.0351,0.919193
1752076348984,171,54.0351,0.920245
1752076349045,171,54.0351,0.920339
1752076349105,170,54.3529,0.921034
1752076349166,171,54.0351,0.923654
1752076349224,169,54.6746,0.924335
1752076349285,168,55,0.924195
1752076349345,169,54.6746,0.922184
1752076349405,169,54.6746,0.923999
1752076349470,169,54.6746,0.926352
1752076349529,169,54.6746,0.92607
1752076349589,169,54.6746,0.924951
1752076349649,170,54.3529,0.925364
1752076349709,169,54.6746,0.922085
1752076349769,170,54.3529,0.922821
1752076349829,170,54.3529,0.919074
1752076349889,171,54.0351,0.917814
1752076349949,171,54.0351,0.918651
1752076350009,170,54.3529,0.921603
1752076350069,170,54.3529,0.922525
1752076350129,171,54.0351,0.917997
1752076350189,172,53.7209,0.917993
1752076350249,172,53.7209,0.913615
1752076350309,171,54.0351,0.912495
1752076350369,172,53.7209,0.914026
1752076350429,172,53.7209,0.917124
1752076350489,173,53.4104,0.919442
1752076350549,173,53.4104,0.921775
1752076350609,173,53.4104,0.925873
1752076350669,175,52.8,0.927061
1752076350729,176,52.5,0.929418
1752076350789,178,51.9101,0.931043
1752076350849,180,51.3333,0.929272
1752076350909,183,50.4918,0.92956
1752076350969,185,49.9459,0.922466
1752076351029,186,49.6774,0.926769
1752076351094,186,49.6774,0.926932
1752076351153,186,49.6774,0.927708
1752076351213,187,49.4118,0.928319
1752076351273,186,49.6774,0.929222
1752076351333,184,50.2174,0.932239
1752076351393,185,49.9459,0.930957
1752076351453,186,49.6774,0.928229
1752076351513,186,49.6774,0.924745
1752076351573,183,50.4918,0.925581
1752076351635,187,49.4118,0.924486
1752076351692,186,49.6774,0.923633
1752076351753,188,49.1489,0.920854
1752076351816,189,48.8889,0.920098
1752076351872,187,49.4118,0.923354
1752076351933,186,49.6774,0.926099
1752076351993,187,49.4118,0.923348
1752076352052,186,49.6774,0.92276
1752076352112,186,49.6774,0.925116
1752076352173,185,49.9459,0.922156
1752076352233,183,50.4918,0.922109
1752076352292,183,50.4918,0.923121
